Trader,Asset Name,Status,Trade Type,Payout,Investment,Trader Profit,Trading Strike,Close Strike,Trading Time,Close Time
trader C,CAD/JPY,Sold,Call,1.88,1000,376.5283,81.227,81.24,2019-09-24 10:59:48.090,2019-09-24 11:04:29.193
trader C,EUR/USD,Closed,Put,1.85,1500,-1500,1.11575,1.11579,2019-10-31 00:15:00.420,2019-10-31 00:20:00.420
trader C,AUD/USD,Closed,Put,1.95,2000,1900,0.6839,0.68383,2019-09-17 03:45:00.260,2019-09-17 03:46:00.260
trader C,AUD/JPY,Closed,Call,1.9,1000,900,69.179,69.19,2020-04-27 01:38:59.520,2020-04-27 01:41:59.520
trader C,NZD/JPY,Closed,Call,1.9,1000,-1000,65.206,65.194,2020-04-07 14:40:01.240,2020-04-07 14:41:01.240
trader C,USD/JPY,Closed,Put,1.88,1000,-1000,108.844,108.985,2019-11-07 07:21:49.110,2019-11-07 07:30:00.000
trader C,USD/JPY,Closed,Put,1.85,1000,850,107.22,107.205,2020-05-13 03:50:06.370,2020-05-13 03:55:06.370
trader C,GBP/JPY,Closed,Put,1.88,2000,1760,134.518,134.458,2019-09-17 13:10:01.850,2019-09-17 13:15:00.000
trader C,GBP/JPY,Closed,Put,1.9,1000,900,150.511,150.497,2021-04-13 09:58:58.780,2021-04-13 09:59:58.780
trader C,GBP/JPY,Closed,Put,1.85,1000,850,132.954,132.906,2020-04-23 10:09:41.470,2020-04-23 10:09:41.470
trader C,AUD/USD,Closed,Call,1.95,1000,950,0.6842,0.6843,2019-09-17 08:22:25.480,2019-09-17 08:23:25.480
trader C,AUD/JPY,Closed,Put,1.88,1000,-1000,74.799,74.805,2019-10-30 07:20:22.650,2019-10-30 07:25:00.000
trader C,USD/JPY,Closed,Put,1.85,1000,850,108.535,108.532,2021-03-24 06:56:18.970,2021-03-24 07:01:18.970
trader C,USD/JPY,Closed,Put,1.85,2000,1700,109.152,109.147,2021-03-17 08:30:32.090,2021-03-17 08:35:00.000
trader C,CAD/JPY,Closed,Call,1.85,1000,-1000,79.34,79.332,2020-11-23 04:16:31.800,2020-11-23 04:20:00.000
trader C,AUD/USD,Closed,Call,1.9,1000,900,0.64032,0.64033,2020-05-15 15:47:59.640,2020-05-15 15:48:59.640
trader C,USD/JPY,Closed,Put,1.85,1000,-1000,106.375,106.389,2020-05-08 03:04:00.710,2020-05-08 03:09:00.710
trader C,EUR/USD,Sold,Put,1.88,2200,137.0387,1.09627,1.0962,2020-02-27 12:50:00.510,2020-02-27 12:52:19.370
trader C,USD/JPY,Sold,Call,1.9,1000,663.8049,109.087,109.14,2021-03-17 18:03:31.730,2021-03-17 18:04:47.900
trader C,AUD/USD,Closed,Put,1.85,5000,4250,0.64639,0.64633,2020-05-15 07:25:22.720,2020-05-15 07:30:00.000
trader C,USD/CHF,Sold,Put,1.88,1000,548.7552,0.99597,0.99567,2019-09-18 13:32:16.520,2019-09-18 13:42:12.137
trader C,USD/JPY,Closed,Call,1.85,8000,6800,107.814,107.825,2020-05-20 01:40:12.870,2020-05-20 01:45:12.870
trader C,USD/JPY,Closed,Put,1.85,1000,-1000,104.363,104.378,2020-12-01 10:25:21.160,2020-12-01 10:30:00.000
trader C,GBP/JPY,Closed,Call,1.9,1000,-1000,136.529,136.526,2020-07-23 04:36:30.500,2020-07-23 04:37:30.500
trader C,GBP/JPY,Closed,Put,1.9,1000,-1000,152.931,152.999,2021-04-01 13:51:20.060,2021-04-01 13:54:20.060
trader C,EUR/USD,Closed,Put,1.95,1000,950,1.10407,1.10384,2019-10-15 15:44:57.600,2019-10-15 15:45:57.600
trader C,USD/JPY,Closed,Put,2.3,5000,6500,109.856,109.833,2021-03-30 00:54:34.090,2021-03-30 00:55:04.090
trader C,AUD/NZD,Closed,Put,1.85,14000,11900,1.06482,1.06477,2020-07-06 07:54:49.920,2020-07-06 08:00:00.000
trader C,AUD/NZD,Closed,Call,1.88,2000,-2000,1.07715,1.0768,2019-10-17 07:10:00.840,2019-10-17 07:15:00.000
trader C,USD/JPY,Closed,Put,1.85,6000,5100,107.474,107.465,2020-05-12 06:19:59.970,2020-05-12 06:25:00.000
trader C,USD/JPY,Sold,Call,1.9,1000,-748.757,110.489,110.474,2021-03-31 00:30:20.940,2021-03-31 00:31:01.343
trader C,USD/JPY,Closed,Put,2.3,1000,-1000,108.958,108.959,2021-03-18 00:54:40.710,2021-03-18 00:55:10.710
trader C,USD/CAD,Closed,Call,1.85,10500,-10500,1.26717,1.26691,2021-03-08 13:14:49.340,2021-03-08 13:20:00.000
trader C,USD/JPY,Closed,Call,1.9,1000,-1000,107.428,107.423,2020-06-10 06:50:03.040,2020-06-10 06:53:03.040
trader C,EUR/USD,Closed,Put,1.88,1000,880,1.09634,1.09624,2019-09-26 03:31:00.380,2019-09-26 03:35:00.000
trader C,GBP/JPY,Closed,Call,1.85,1000,-1000,138.847,138.77,2020-11-23 16:10:07.150,2020-11-23 16:15:00.000
trader C,USD/JPY,Closed,Put,1.9,1000,900,106.466,106.464,2020-08-14 15:06:01.950,2020-08-14 15:09:01.950
trader C,USD/JPY,Closed,Put,1.88,1000,-1000,108.436,108.458,2019-10-23 10:10:32.360,2019-10-23 10:15:00.000
trader C,NZD/USD,Closed,Put,1.85,5010,-5010,0.59646,0.59649,2020-05-18 10:54:46.390,2020-05-18 11:00:00.000
trader C,USD/JPY,Closed,Put,1.85,1000,850,106.39,106.385,2020-05-08 07:25:00.240,2020-05-08 07:30:00.240
trader C,USD/JPY,Closed,Put,1.95,1000,-1000,108.195,108.195,2019-09-18 11:29:01.210,2019-09-18 11:30:01.210
trader C,USD/JPY,Closed,Put,1.95,1000,-1000,108.485,108.488,2019-12-09 13:07:00.690,2019-12-09 13:08:00.690
trader C,EUR/USD,Closed,Call,1.85,1700,1445,1.10052,1.10054,2019-11-12 15:40:06.690,2019-11-12 15:45:06.690
trader C,AUD/USD,Closed,Put,1.9,1000,900,0.74165,0.74154,2020-12-03 09:50:35.580,2020-12-03 09:51:35.580
trader C,GBP/AUD,Closed,Call,1.85,1000,850,1.83152,1.83181,2020-06-10 00:40:00.890,2020-06-10 00:45:00.000
trader C,AUD/USD,Closed,Call,1.88,1000,880,0.68579,0.68604,2019-10-21 06:00:42.690,2019-10-21 06:05:00.000
trader C,USD/JPY,Closed,Call,1.88,1000,880,108.755,108.778,2019-12-05 15:15:31.530,2019-12-05 15:20:00.000
trader C,AUD/USD,Closed,Call,1.85,5000,4250,0.65354,0.65386,2020-05-11 07:15:00.360,2020-05-11 07:20:00.000
trader C,GBP/JPY,Closed,Call,1.9,1000,900,133.051,133.073,2020-04-27 14:47:01.310,2020-04-27 14:48:01.310
trader C,EUR/GBP,Closed,Put,1.85,2000,1700,0.90168,0.90167,2020-11-03 03:40:00.620,2020-11-03 03:45:00.000
trader C,USD/CHF,Closed,Put,1.85,3000,2550,0.97238,0.972,2020-05-12 09:14:58.070,2020-05-12 09:20:00.000
trader C,GBP/JPY,Closed,Call,1.95,1000,950,133.583,133.584,2019-09-23 15:34:58.490,2019-09-23 15:34:58.490
trader C,AUD/JPY,Sold,Put,1.85,3000,-1808.06,71.604,71.611,2020-05-26 18:15:01.040,2020-05-26 18:18:05.477
trader C,EUR/USD,Closed,Put,1.88,1000,880,1.11345,1.11344,2019-11-05 07:30:12.190,2019-11-05 07:35:00.000
trader C,AUD/JPY,Closed,Call,1.85,1000,850,69.25,69.297,2020-05-13 07:43:36.360,2020-05-13 07:45:00.000
trader C,CHF/JPY,Closed,Put,1.85,1000,-1000,113.273,113.295,2020-06-10 05:35:28.440,2020-06-10 05:40:00.000
trader C,EUR/GBP,Sold,Call,1.88,1000,31.8328,0.87614,0.87621,2019-10-14 07:00:29.920,2019-10-14 07:03:18.317
trader C,USD/CHF,Sold,Put,1.85,10000,-1749.72,0.97203,0.97203,2020-05-19 01:14:50.690,2020-05-19 01:18:56.737
trader C,CAD/JPY,Closed,Call,1.85,10500,8925,83.785,83.808,2021-02-24 05:15:04.930,2021-02-24 05:25:00.000
trader C,NZD/JPY,Closed,Call,1.9,1000,-1000,72.144,72.144,2020-11-23 02:46:54.220,2020-11-23 02:47:54.220
trader C,AUD/JPY,Closed,Put,1.95,2000,-2000,74.074,74.075,2019-12-09 14:03:04.990,2019-12-09 14:04:04.990
trader C,EUR/USD,Closed,Put,1.88,1000,-1000,1.0995,1.09976,2019-11-14 12:44:59.890,2019-11-14 12:50:00.000
trader C,GBP/JPY,Closed,Put,1.88,1000,-1000,139.836,139.881,2019-10-23 12:47:25.720,2019-10-23 12:50:00.000
trader C,GBP/JPY,Closed,Put,1.9,1000,900,137.739,137.731,2020-06-08 17:43:01.340,2020-06-08 17:44:01.340
trader C,GBP/USD,Closed,Put,1.85,5010,-5010,1.23042,1.23123,2020-05-26 08:59:31.090,2020-05-26 09:05:00.000
trader C,CHF/JPY,Closed,Call,1.85,1000,-1000,117.595,117.589,2020-12-10 23:56:15.380,2020-12-11 00:00:00.000
trader C,USD/JPY,Closed,Put,1.9,2000,-2000,107.773,107.778,2020-05-20 03:31:05.950,2020-05-20 03:34:05.950
trader C,USD/JPY,Closed,Call,1.85,2000,1700,109.175,109.18,2021-03-17 06:00:01.140,2021-03-17 06:05:00.000
trader C,AUD/USD,Closed,Put,1.9,1000,-1000,0.69673,0.69685,2020-07-16 18:52:01.070,2020-07-16 18:55:01.070
trader C,EUR/USD,Closed,Call,1.88,2200,-2200,1.09805,1.09798,2019-10-07 03:40:01.290,2019-10-07 03:45:00.000
trader C,GBP/JPY,Closed,Put,1.85,1000,850,150.42,150.364,2021-04-14 07:36:08.440,2021-04-14 07:40:00.000
trader C,GBP/AUD,Closed,Put,1.85,1000,-1000,1.81505,1.81529,2020-11-30 17:50:00.790,2020-11-30 17:55:00.000
trader C,AUD/JPY,Closed,Call,1.9,1000,900,68.529,68.535,2020-04-13 02:37:00.960,2020-04-13 02:40:00.960
trader C,EUR/AUD,Sold,Put,1.88,1000,89.5274,1.62295,1.62288,2019-09-24 03:49:13.820,2019-09-24 03:56:52.657
trader C,USD/JPY,Closed,Call,1.9,1000,-1000,107.368,107.366,2020-05-12 03:16:07.050,2020-05-12 03:19:07.050
trader C,USD/JPY,Closed,Call,1.9,1000,-1000,107.055,107.032,2020-07-23 14:52:04.080,2020-07-23 14:55:04.080
trader C,USD/JPY,Closed,Put,2.3,5000,-5000,108.873,108.873,2021-03-25 00:54:37.910,2021-03-25 00:55:07.910
trader C,GOLD,Closed,Call,1.85,1000,850,1808.82,1810.04,2020-11-26 02:36:22.870,2020-11-26 02:40:00.000
trader C,GBP/JPY,Closed,Call,1.85,1000,850,149.682,149.687,2021-04-26 08:47:53.300,2021-04-26 08:50:00.000
trader C,USD/JPY,Closed,Call,1.85,1000,850,108.839,108.86,2021-03-17 23:30:03.240,2021-03-17 23:35:00.000
trader C,NZD/JPY,Closed,Put,1.9,1000,900,75.552,75.539,2021-02-10 16:14:06.400,2021-02-10 16:17:06.400
trader C,AUD/JPY,Closed,Put,1.88,20000,17600,61.937,61.749,2020-03-19 06:17:29.190,2020-03-19 06:30:00.000
trader C,NZD/JPY,Closed,Put,1.88,2000,1760,69.488,69.461,2019-10-31 12:15:00.220,2019-10-31 12:20:00.000
trader C,AUD/USD,Closed,Call,1.95,1000,950,0.68418,0.68432,2019-09-17 02:50:01.630,2019-09-17 02:51:01.630
trader C,EUR/JPY,Closed,Call,1.9,1000,900,130.234,130.235,2021-04-13 14:59:00.540,2021-04-13 15:00:00.540
trader C,AUD/USD,Closed,Put,1.85,5000,-5000,0.64624,0.64633,2020-05-15 07:24:59.790,2020-05-15 07:30:00.000
trader C,GBP/JPY,Closed,Call,1.9,1000,-1000,138.968,138.913,2020-06-08 06:39:02.850,2020-06-08 06:42:02.850
trader E,AUD/JPY,Closed,Put,1.85,45000,-45000,83.179,83.211,2021-06-22 13:10:01.430,2021-06-22 13:15:01.430
trader B,EUR/USD,Closed,Put,1.85,37000,31450,1.18659,1.18642,2021-06-21 04:59:59.820,2021-06-21 04:59:59.820
trader C,USD/JPY,Closed,Call,1.85,1700,1445,108.98,109,2019-11-11 18:35:01.210,2019-11-11 18:40:01.210
trader C,USD/JPY,Closed,Call,1.85,2000,1700,107.178,107.183,2020-05-13 04:18:00.760,2020-05-13 04:23:00.760
trader C,GBP/USD,Closed,Call,1.85,11000,-11000,1.23878,1.23872,2020-06-19 10:19:49.650,2020-06-19 10:25:00.000
trader C,GBP/JPY,Closed,Put,1.85,1500,1275,140.162,140.1,2019-10-28 14:25:01.850,2019-10-28 14:30:01.850
trader C,GBP/USD,Closed,Call,1.85,1000,850,1.23295,1.23468,2020-05-07 12:15:06.120,2020-05-07 12:20:00.000
trader C,USD/JPY,Closed,Call,1.9,1000,900,106.891,106.897,2020-05-14 04:42:05.060,2020-05-14 04:45:05.060
trader C,CHF/JPY,Closed,Call,1.85,1000,-1000,115.109,115.097,2020-11-30 19:16:27.750,2020-11-30 19:20:00.000
trader C,GBP/JPY,Closed,Put,1.85,1000,850,150.92,150.89,2021-04-27 14:42:32.530,2021-04-27 14:45:00.000
trader C,NZD/JPY,Closed,Call,1.9,1000,900,65.258,65.264,2020-04-07 08:27:04.410,2020-04-07 08:28:04.410
trader C,USD/JPY,Sold,Put,1.85,3000,-1769.6,106.538,106.545,2020-05-07 10:35:13.890,2020-05-07 10:38:29.480
trader C,USD/JPY,Closed,Call,1.9,1000,900,108.989,109,2021-03-17 18:20:24.450,2021-03-17 18:20:24.450
trader C,AUD/USD,Closed,Call,1.9,1000,900,0.77501,0.77502,2021-03-16 04:19:00.990,2021-03-16 04:20:00.990
trader C,USD/JPY,Closed,Put,1.85,2000,-2000,106.92,106.944,2020-05-14 01:16:08.040,2020-05-14 01:21:08.040
trader C,USD/JPY,Closed,Put,1.85,1000,850,109.081,109.072,2021-03-19 00:55:00.300,2021-03-19 01:00:00.300
trader C,NZD/JPY,Closed,Put,1.88,5000,4400,67.385,67.354,2019-10-03 08:41:33.670,2019-10-03 08:55:00.000
trader C,EUR/JPY,Closed,Put,1.85,2000,-2000,119.765,119.775,2019-11-15 10:05:01.420,2019-11-15 10:10:01.420
trader C,EUR/USD,Closed,Call,1.85,10050,-10050,1.08331,1.08296,2020-04-21 02:18:36.730,2020-04-21 02:30:00.000
trader C,AUD/JPY,Closed,Call,1.9,1000,900,75.687,75.798,2020-06-08 14:38:17.120,2020-06-08 14:41:17.120
trader C,EUR/USD,Closed,Call,1.9,3000,-3000,1.08083,1.0806,2020-05-18 08:42:00.400,2020-05-18 08:43:00.400
trader C,USD/JPY,Closed,Put,1.9,1000,900,106.339,106.334,2020-05-07 07:21:02.230,2020-05-07 07:24:02.230
trader C,GBP/JPY,Closed,Call,1.85,3500,2975,140.415,140.418,2019-11-06 14:10:00.010,2019-11-06 14:15:00.010
trader C,EUR/JPY,Closed,Call,1.88,1000,880,120.69,120.697,2019-10-18 06:50:00.690,2019-10-18 06:55:00.000
trader C,GBP/JPY,Closed,Call,1.85,1600,-1600,140.006,140.006,2019-11-04 18:30:00.630,2019-11-04 18:35:00.630
trader C,AUD/USD,Sold,Call,1.88,1000,-600.203,0.67755,0.67751,2019-09-25 10:28:21.470,2019-09-25 10:38:23.473
trader C,EUR/GBP,Closed,Call,1.85,5000,-5000,0.87957,0.87953,2020-05-04 11:44:52.510,2020-05-04 11:50:00.000
trader C,EUR/JPY,Closed,Put,1.88,2000,1760,120.02,119.991,2019-10-16 10:10:01.140,2019-10-16 10:15:00.000
trader C,AUD/NZD,Closed,Put,1.85,1000,850,1.05981,1.05966,2020-05-04 08:17:59.020,2020-05-04 08:20:00.000
trader C,NZD/JPY,Closed,Put,1.85,1000,850,70.187,70.171,2020-08-04 06:20:31.370,2020-08-04 06:25:00.000
trader C,AUD/USD,Sold,Call,1.85,1000,-525.563,0.64093,0.6408,2020-05-06 15:50:21.140,2020-05-06 15:51:56.400
trader C,GBP/JPY,Closed,Put,1.9,1000,900,137.731,137.721,2020-06-08 17:43:59.780,2020-06-08 17:44:59.780
trader C,EUR/JPY,Closed,Put,1.85,5000,-5000,116.019,116.029,2020-05-18 06:29:59.670,2020-05-18 06:35:00.000
trader C,USD/JPY,Closed,Call,1.85,1000,850,103.728,103.734,2020-11-23 01:26:05.510,2020-11-23 01:30:00.000
trader C,USD/JPY,Closed,Call,1.9,1000,900,107.125,107.131,2020-07-17 07:36:06.550,2020-07-17 07:39:06.550
trader C,USD/CHF,Closed,Call,1.85,1000,-1000,0.92219,0.92217,2021-04-15 23:09:59.870,2021-04-15 23:20:00.000
trader C,AUD/NZD,Closed,Call,1.85,11000,-11000,1.06817,1.06802,2020-06-19 13:46:50.630,2020-06-19 13:50:00.000
trader C,EUR/USD,Closed,Put,1.88,2000,1760,1.09703,1.09662,2019-10-03 08:44:57.480,2019-10-03 08:50:00.000
trader C,GBP/JPY,Closed,Call,1.9,1000,900,139.008,139.025,2020-11-26 14:29:00.390,2020-11-26 14:30:00.390
trader A,BITCOIN,Closed,Put,2.05,5594,5873.7,37911.5,37863.8,2021-06-18 11:06:57.230,2021-06-18 11:09:57.230
trader C,USD/JPY,Closed,Call,1.85,3600,3060,108.985,109.003,2019-11-06 11:55:00.150,2019-11-06 12:00:00.150
trader C,EUR/JPY,Sold,Call,1.85,1000,-686.351,116.308,116.295,2020-04-27 00:45:06.300,2020-04-27 00:48:15.937
trader E,EUR/GBP,Closed,Call,1.85,45000,-45000,0.85328,0.85317,2021-06-23 07:15:59.740,2021-06-23 07:30:00.000
trader C,EUR/JPY,Closed,Call,1.95,1000,950,118.922,118.931,2019-09-17 00:03:22.460,2019-09-17 00:04:22.460
trader C,EUR/JPY,Closed,Put,1.85,1500,1275,121.428,121.394,2019-10-31 03:30:00.070,2019-10-31 03:35:00.070
trader C,EUR/USD,Closed,Call,1.9,1000,-1000,1.13889,1.13874,2020-07-17 07:14:22.060,2020-07-17 07:17:22.060
trader C,NZD/JPY,Closed,Put,1.9,5000,4500,64.481,64.479,2020-04-24 02:02:00.770,2020-04-24 02:03:00.770
trader C,USD/JPY,Closed,Put,2.3,1000,-1000,109.649,109.653,2021-03-29 00:55:05.390,2021-03-29 00:55:35.390
trader C,NZD/JPY,Closed,Call,1.9,1000,-1000,71.191,71.163,2020-09-04 01:32:00.780,2020-09-04 01:33:00.780
trader C,AUD/JPY,Closed,Put,1.9,10000,9000,68.021,68.002,2020-04-23 01:39:01.700,2020-04-23 01:40:01.700
trader C,GBP/JPY,Closed,Put,1.85,1000,850,150.234,150.165,2021-04-16 12:11:00.940,2021-04-16 12:20:00.000
trader C,AUD/NZD,Closed,Call,1.85,5010,4258.5,1.06964,1.06966,2020-05-28 14:04:37.250,2020-05-28 14:10:00.000
trader C,EUR/USD,Closed,Put,1.85,5000,4250,1.07996,1.07975,2020-05-14 10:24:59.910,2020-05-14 10:30:00.000
trader C,USD/JPY,Sold,Call,1.9,1000,-665.064,109.266,109.259,2021-03-26 00:40:16.030,2021-03-26 00:42:05.173
trader C,GBP/JPY,Closed,Put,1.85,1000,850,140.461,140.424,2019-11-11 14:54:59.350,2019-11-11 14:59:59.350
trader C,USD/JPY,Closed,Put,1.85,1000,-1000,105.078,105.095,2020-11-13 08:22:01.110,2020-11-13 08:30:00.000
trader C,USD/JPY,Closed,Put,1.88,20000,-20000,107.626,107.715,2020-03-18 12:59:40.650,2020-03-18 13:05:00.000
trader C,EUR/USD,Closed,Put,1.88,2000,1760,1.09878,1.09798,2019-10-04 11:00:20.260,2019-10-04 11:05:00.000
trader C,EUR/USD,Closed,Call,1.95,2000,-2000,1.09911,1.09899,2019-10-07 15:32:57.560,2019-10-07 15:33:57.560
trader C,EUR/GBP,Closed,Call,1.85,1000,-1000,0.8723,0.87206,2020-04-27 15:39:07.170,2020-04-27 15:50:00.000
trader C,GBP/JPY,Closed,Call,1.85,1000,850,149.827,149.851,2021-04-14 11:05:03.090,2021-04-14 11:10:00.000
trader C,GBP/JPY,Closed,Call,1.95,1000,950,150.365,150.375,2021-04-14 08:30:00.120,2021-04-14 08:30:30.120
trader C,AUD/JPY,Closed,Call,1.9,2000,-2000,68.48,68.48,2020-04-13 03:15:01.330,2020-04-13 03:18:01.330
trader C,USD/JPY,Closed,Call,1.88,2000,1760,106.74,106.742,2019-10-04 11:02:07.120,2019-10-04 11:05:00.000
trader C,GBP/JPY,Closed,Call,1.9,1000,900,150.306,150.314,2021-04-19 03:15:00.110,2021-04-19 03:16:00.110
trader C,CHF/JPY,Closed,Put,1.88,21000,-21000,112.805,112.846,2020-03-20 14:46:51.580,2020-03-20 15:00:00.000
trader C,GBP/AUD,Closed,Call,1.88,2000,-2000,1.88444,1.88393,2019-10-18 11:05:00.280,2019-10-18 11:10:00.000
trader C,USD/JPY,Closed,Call,1.9,1000,900,109.114,109.13,2020-06-04 08:39:01.510,2020-06-04 08:40:01.510
trader C,AUD/USD,Closed,Put,1.9,1000,-1000,0.69392,0.69426,2020-06-03 15:10:59.090,2020-06-03 15:11:59.090
trader C,NZD/JPY,Closed,Call,1.9,5000,4500,64.542,64.555,2020-04-24 01:08:02.280,2020-04-24 01:09:02.280
trader C,AUD/JPY,Sold,Put,1.9,1000,-827.692,76.361,76.37,2020-08-14 16:45:14.920,2020-08-14 16:47:14.803
trader E,GBP/USD,Closed,Call,1.85,45000,38250,1.38985,1.39055,2021-06-22 05:30:59.690,2021-06-22 05:45:00.000
trader C,CAD/JPY,Closed,Put,1.88,1000,880,80.991,80.969,2019-09-25 12:44:33.220,2019-09-25 12:50:00.000
trader C,EUR/USD,Closed,Put,1.9,1000,900,1.17473,1.17464,2021-03-30 06:57:21.900,2021-03-30 06:58:21.900
